Latitude,Longitude,Feature,1,2,3
38.19956,-84.55818,Hamilton Street Swallet,1,0,0
38.19751,-84.55723,Cemetery Maintenance Shack Sink,1,1,0
38.19469,-84.5536,Showalter Subdivision Drainage Well,1,1,1
38.19209,-84.55071,Showalter Sink (Drainage Well),1,1,1
38.18759,-84.54652,460 Detention Basin Swallet,1,1,0
38.18744,-84.544,Northeast RR swallet,1,1,1
38.1864,-84.54468,460 Bypass Swallet ,1,0,0
38.18635,-84.54641,South 460 Drainpipe Swallet ,1,0,0
38.18562,-84.54329,Southeast RR swallet ,1,1,0
38.18047,-84.52462,Barton epikarst losing,1,1,1
38.18007,-84.53925,Swallet ,1,0,0
38.17701,-84.52548,Barton epikarst swallet ,1,1,1
38.17427,-84.50937,Barton Farm sink ,1,1,0
38.17427,-84.53812,Swallet ,1,0,0
38.17167,-84.53399,Barton Swallet ,1,1,1
38.17114,-84.5348,Barton Swallet 2,1,0,0
38.16575,-84.53734,Cane Run sink ,1,1,0
38.16506,-84.53107,Barton hillside sink ,1,1,1
38.16453,-84.53466,Cane Run sink ,1,0,0
38.16352,-84.52914,Barton Lake Sinks ,1,1,0
38.16347,-84.52868,Barton Lake Sinks ,1,1,0
38.16336,-84.52945,Barton Lake Sinks ,1,1,1
38.16328,-84.533,Cane Run sink ,1,0,0
38.16106,-84.5292,Muck pile sink ,1,0,0
38.16032,-84.52276,Horse Park eoikarst swallet ,1,1,1
38.15923,-84.52651,Horse Park epikarst window ,1,0,0
38.15606,-84.5236,Horse Park swallet ,1,0,0
38.15478,-84.52328,Horse Park swallet ,1,0,0
38.15342,-84.52618,Horse Park swallet ,1,1,0
38.15234,-84.52454,Cane Run swallet ,1,1,1
38.15163,-84.52497,Cane Run swallet ,1,1,0
38.15041,-84.52377,Cane Run Swallet ,1,0,0
38.1504,-84.52433,Horse Park fencepost swallet ,1,1,1
38.15033,-84.52354,Cane Run swallet ,1,0,0
38.14923,-84.52281,Cane Run swallet ,1,1,1
38.14765,-84.52062,Cane Run swallet ,1,1,0
38.14752,-84.52062,Cane Run swallet ,1,0,0
38.14741,-84.52065,Cane Run swallet ,1,1,0
38.14718,-84.52062,Guard Shack Swallet ,1,1,1
38.14665,-84.52055,Cane Run swallet ,1,0,0
38.14551,-84.52051,Horse Park swallet ,1,1,0
38.14392,-84.51909,Cane Run swallet ,1,1,1
38.14352,-84.51958,Cane Run swallet ,1,1,1
38.14251,-84.51862,Cane Run swallet ,1,1,1
38.1416,-84.52042,Swallet Drainage ,1,0,0
38.14141,-84.51769,Cane Run swallet ,1,0,0
38.14094,-84.51779,Cane Run swallet ,1,1,0
38.13709,-84.51513,Lower Spindletop ,1,1,1
38.13617,-84.51534,Swallet ,1,0,0
38.13456,-84.51264,Spindletoo epikarst sink ,1,0,0
38.13432,-84.5133,Upper Spindletop swallet ,1,1,1
38.13391,-84.51301,Upper Spindletop swallet ,1,0,0
38.13365,-84.51277,Upper Spindletop swallet ,1,0,0
38.12536,-84.51616,Tributary swallet ,1,1,0
38.12326,-84.51423,Vulcan - Cane Run Swallet ,1,1,1
38.12261,-84.51356,Vulcan Quarry cave ,1,1,0
38.12214,-84.51389,Vulcan Quarry swallet cave ,1,0,0
38.11554,-84.50688,UK AG farm swallet ,1,1,1
38.1144,-84.50541,UK AG farm sink ,1,0,0
38.11109,-84.50663,1-75 Tributary swallet ,1,1,1
38.10858,-84.50127,Cane Run AG farm swallet ,1,1,0
38.10817,-84.50143,1-75 Tributary swallet ,1,0,0
38.10744,-84.49994,Cane Run AG farm swallet ,1,1,1
38.10734,-84.50165,1-75 Tributary swallet ,1,0,0
38.10549,-84.49813,Cold Stream tributary swallet ,1,1,0
38.10336,-84.49832,North Cold Stream swallet ,1,1,1
38.10151,-84.48586,1-75 interchange swallet ,1,0,0
38.1009,-84.49766,North Cold Stream swallet ,1,1,1
38.09962,-84.49798,Cold Stream swallet ,1,1,0
38.09684,-84.50005,Cold Stream swallet ,1,1,0
38.09296,-84.50067,Cold Stream swallet ,1,0,0
38.09008,-84.50053,Cane Run swallet ,1,1,1
38.08616,-84.50472,Swallet ,1,0,0
38.0835,-84.49494,Newtown Estavelle ,1,1,1
38.07957,-84.49823,Losing stream ,1,1,0
38.07873,-84.49032,IBM swallet ,1,0,0
38.07864,-84.4902,IBM swallet ,1,1,1
38.07771,-84.48968,IBM swallet ,1,1,1
38.076,-84.4851,Tributary swallet ,1,1,0
38.07417,-84.48367,New Circle swallet ,1,0,0
38.07312,-84.4792,New Circle swallet ,1,1,1
38.04525,-84.47027,Demolition sink ,1,1,1
